Year,RaceEthnicity,Births,Deaths,Birth Rate,Death Rate,BirthDeathRatio
2000,All Races/Ethnicities,4026508,2384811,1427,845.2,1.69
2001,All Races/Ethnicities,3993509,2397376,1401.4,841.3,1.67
2002,All Races/Ethnicities,3989601,2425210,1387.1,843.2,1.65
2003,All Races/Ethnicities,4089950,2448288,1409.8,843.9,1.67
2004,All Races/Ethnicities,4112052,2397615,1404.4,818.8,1.72
2005,All Races/Ethnicities,4138349,2448017,1400.4,828.4,1.69
2006,All Races/Ethnicities,4265555,2426264,1429.6,813.2,1.76
2007,All Races/Ethnicities,4316233,2423712,1432.9,804.6,1.78
2008,All Races/Ethnicities,4247694,2469982,1396.8,812.2,1.72
2009,All Races/Ethnicities,4130665,2437163,1346.5,794.5,1.69
2010,All Races/Ethnicities,3999386,2468435,1295.5,799.6,1.62
2011,All Races/Ethnicities,3953590,2515458,1269,807.4,1.57
2012,All Races/Ethnicities,3952841,2543273,1259.3,810.3,1.55
2013,All Races/Ethnicities,3932181,2596993,1244,821.6,1.51
2014,All Races/Ethnicities,3988076,2626354,1250.9,823.8,1.52
2015,All Races/Ethnicities,3978497,2712630,1237.9,844,1.47
2016,All Races/Ethnicities,3945875,2744251,1221.3,849.4,1.44
2017,All Races/Ethnicities,3855500,2813503,1183.8,863.9,1.37
2018,All Races/Ethnicities,3791712,2839205,1159.1,867.9,1.34
2019,All Races/Ethnicities,3747540,2854768,1141.8,869.8,1.31
2020,All Races/Ethnicities,3613647,3383729,1096.9,1027.1,1.07
2021,All Races/Ethnicities,3659289,3461321,1110.6,1050.6,1.06
2022,All Races/Ethnicities,3667758,3279857,1100.5,983.1,1.12
2023,All Races/Ethnicities,3596017,3090970,1073.7,922.9,1.16
2000,Non-Hispanic White,2362968,1959919,1197.5,993.3,1.21
2001,Non-Hispanic White,2326578,1962810,1176,992.1,1.19
2002,Non-Hispanic White,2298156,1981973,1160.1,1000.5,1.16
2003,Non-Hispanic White,2321904,1979465,1171,998.3,1.17
2004,Non-Hispanic White,2296683,1933382,1156.3,973.4,1.19
2005,Non-Hispanic White,2279768,1967142,1146.3,989.1,1.16
2006,Non-Hispanic White,2308640,1944617,1159,976.2,1.19
2007,Non-Hispanic White,2310333,1939606,1158.1,972.3,1.19
2008,Non-Hispanic White,2267817,1981034,1135.1,991.6,1.14
2009,Non-Hispanic White,2212552,1944606,1106.3,972.3,1.14
2010,Non-Hispanic White,2162406,1969916,1080.5,984.3,1.1
2011,Non-Hispanic White,2146566,2006319,1071,1001,1.07
2012,Non-Hispanic White,2134044,2016896,1063.3,1004.9,1.06
2013,Non-Hispanic White,2129196,2052660,1059.7,1021.6,1.04
2014,Non-Hispanic White,2149302,2066949,1069,1028.1,1.04
2015,Non-Hispanic White,2130279,2123631,1058.6,1055.3,1
2016,Non-Hispanic White,2094054,2133463,1040.1,1059.7,0.98
2017,Non-Hispanic White,2030493,2179857,1009,1083.2,0.93
2018,Non-Hispanic White,1956413,2182552,990.4,1104.8,0.9
2019,Non-Hispanic White,1915912,2183844,971,1106.8,0.88
2020,Non-Hispanic White,1843432,2484072,936.8,1262.4,0.74
2021,Non-Hispanic White,1884554,2547496,957.7,1294.6,0.74
2022,Non-Hispanic White,1840739,2448093,949.6,1247.6,0.75
2023,Non-Hispanic White,1787051,2308328,914.4,1181.1,0.77
2000,Non-Hispanic Black,604346,282676,1722.2,805.5,2.14
2001,Non-Hispanic Black,589917,284343,1655.3,797.9,2.07
2002,Non-Hispanic Black,578335,286573,1604.3,794.9,2.02
2003,Non-Hispanic Black,576033,287968,1581.5,790.6,2
2004,Non-Hispanic Black,578772,283859,1570.7,770.3,2.04
2005,Non-Hispanic Black,583759,289163,1566.3,775.8,2.02
2006,Non-Hispanic Black,617247,286581,1636.4,759.8,2.15
2007,Non-Hispanic Black,627191,286366,1642.5,750,2.19
2008,Non-Hispanic Black,623029,285522,1611.9,738.7,2.18
2009,Non-Hispanic Black,609584,282982,1558.9,723.7,2.15
2010,Non-Hispanic Black,589808,283438,1495.6,718.7,2.08
2011,Non-Hispanic Black,582345,286797,1457.9,718,2.03
2012,Non-Hispanic Black,583489,291179,1444.6,720.9,2
2013,Non-Hispanic Black,583834,299227,1430.9,733.4,1.95
2014,Non-Hispanic Black,588891,303844,1425.3,735.4,1.94
2015,Non-Hispanic Black,589047,315254,1410,754.6,1.87
2016,Non-Hispanic Black,583786,326810,1385.3,775.5,1.79
2017,Non-Hispanic Black,587357,335667,1378,787.5,1.75
2018,Non-Hispanic Black,552029,341408,1349.6,834.7,1.62
2019,Non-Hispanic Black,548075,346677,1332,842.5,1.58
2020,Non-Hispanic Black,529811,449213,1278.9,1084.3,1.18
2021,Non-Hispanic Black,517027,449036,1248,1083.9,1.15
2022,Non-Hispanic Black,511439,411934,1227,979.2,1.24
2023,Non-Hispanic Black,491494,385399,1161.6,910.8,1.28
2000,Hispanic,815868,107254,2310.9,303.8,7.61
2001,Hispanic,851851,113413,2293.4,305.3,7.51
2002,Hispanic,876642,117135,2270.1,303.3,7.48
2003,Hispanic,912329,122026,2278,304.7,7.48
2004,Hispanic,946349,122416,2280.3,295,7.73
2005,Hispanic,985505,131161,2290.6,304.9,7.51
2006,Hispanic,1039077,133004,2329.4,298.2,7.81
2007,Hispanic,1062779,135519,2300.5,293.4,7.84
2008,Hispanic,1041239,139241,2178.6,291.3,7.48
2009,Hispanic,999548,141576,2026.4,287,7.06
2010,Hispanic,945180,144490,1872.5,286.3,6.54
2011,Hispanic,918129,149635,1764.1,287.5,6.14
2012,Hispanic,907677,156419,1711.7,295,5.8
2013,Hispanic,901033,163241,1666.4,301.9,5.52
2014,Hispanic,914065,169387,1650.3,305.8,5.4
2015,Hispanic,924048,179457,1632.8,317.1,5.15
2016,Hispanic,918447,188254,1598.1,327.6,4.88
2017,Hispanic,898764,197249,1524.7,334.6,4.56
2018,Hispanic,886210,204719,1480.2,341.9,4.33
2019,Hispanic,886467,212397,1463.5,350.7,4.17
2020,Hispanic,866713,305708,1413.6,498.6,2.84
2021,Hispanic,884726,315428,1443,514.5,2.8
2022,Hispanic,937421,275684,1472.4,433,3.4
2023,Hispanic,945200,258896,1449.3,397,3.65
